0,119
1,90
2,166
3,76
4,80
5,151
6,59
7,99
8,195
9,247
10,210
11,198
12,220
13,232
14,254
15,242
16,38
17,59
18,49
19,67
20,148
21,45
22,80
23,2
24,173
25,193
26,229
27,156
28,173
29,127
30,95
31,227
32,73
33,45
34,2
35,226
36,98
37,250
38,248
39,76
40,5
41,58
42,249
43,178
44,30
45,193
46,153
47,112
48,192
49,6
50,145
51,216
52,118
53,100
54,239
55,177
56,163
57,213
58,38
59,175
60,2
61,93
62,143
63,197
64,166
65,159
66,147
67,90
68,117
69,171
70,144
71,116
72,199
73,40
74,188
75,42
76,181
77,238
78,49
79,17
80,107
81,203
82,146
83,200
84,140
85,147
86,195
87,142
88,39
89,225
90,96
91,49
92,121
93,50
94,241
95,50
96,220
97,37
98,211
99,108
100,23
101,143
102,211
103,158
104,79
105,198
106,192
107,132
108,129
109,234
110,8
111,48
112,143
113,182
114,240
115,232
116,232
117,176
118,193
119,149
120,75
121,33
122,78
123,154
124,153
125,138
126,45
127,138
128,101
129,99
130,100
131,117
132,102
133,116
134,82
135,91
136,155
137,107
138,111
139,164
140,107
141,110
142,151
143,141
144,148
145,91
146,135
147,133
148,153
149,92
150,147
151,110
152,47
153,44
154,35
155,23
156,17
157,30
158,39
159,27
160,220
161,194
162,180
163,199
164,181
165,180
166,142
167,154
168,207
169,185
170,114
171,130
172,165
173,162
174,148
175,129
176,20
177,239
178,214
179,253
180,231
181,219
182,205
183,214
184,197
185,1
186,205
187,231
188,243
189,251
190,209
191,179
192,92
193,72
194,82
195,96
196,94
197,91
198,111
199,80
200,35
201,21
202,245
203,32
204,14
205,2
206,250
207,22
208,95
209,151
210,107
211,103
212,147
213,122
214,105
215,125
216,145
217,147
218,134
219,161
220,140
221,186
222,158
223,175
224,173
225,176
226,122
227,146
228,159
229,168
230,168
231,154
232,137
233,87
234,154
235,136
236,188
237,152
238,145
239,149
240,121
241,126
242,117
243,130
244,130
245,141
246,137
247,96
248,75
249,103
250,128
251,121
252,70
253,84
254,83
255,87
